title,cost,style,category,size,url
심플 파스텔 수건걸이 유리문 홈바테이블 1200 (4색),260100,lovely,table,1200,https://smartstore.naver.com/nurismile/products/8097350397?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=6c0b45a6239e4f239a74e136c420b18c&NaPm=ci%3D6c0b45a6239e4f239a74e136c420b18c%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D7213435%7Chk%3D3f3163afb8cf010fe90c80239db18bd61a2d6393
1200 파스텔 아일랜드수납장 주방아일랜드장 보조테이블 식탁 부엌하부장,248610,lovely,table,1200,https://smartstore.naver.com/fbstore/products/8536725271?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=ea81608590ff473aa2bfc339a174e8cb&NaPm=ci%3Dea81608590ff473aa2bfc339a174e8cb%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D2523309%7Chk%3D949804b5d935ad0d3e97e862d08151ca565d17d2
카페 매장 사무실 제작 화이트 사각 600-1200 식탁 테이블 사이즈 컬러변경,169000,lovely,table,1200,https://smartstore.naver.com/migagu/products/4702243209?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=c96373d483764abe89cb2b7c66810f7e&NaPm=ci%3Dc96373d483764abe89cb2b7c66810f7e%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D536630%7Chk%3D1c5edc5e7efc0c7b349a34cd26766d1f7a05882e
우드유라이크 블랙1200사이즈 다용도 소나무테이블,370000,lovely,table,1200,https://smartstore.naver.com/woodulike/products/544706645?nl-query=%ED%8C%8C%EC%8A%A4%ED%85%94%20%ED%85%8C%EC%9D%B4%EB%B8%94%201200&nl-au=3f7027d968bd4f068ce38a703b820bc9&NaPm=ci%3D3f7027d968bd4f068ce38a703b820bc9%7Cct%3Dm5sgdda6%7Ctr%3Dnslsl%7Csn%3D267807%7Chk%3D97e4a8cf6ace7237860687c6fb3a8d2fc7028e94
긴 스틸 스터디카페 책상 커피숍 데스크 모던 디자인 1800x800x740,313280,modern,table,800,https://smartstore.naver.com/gguldeuks/products/10139927757?NaPm=ct%3Dm5sbvgc0%7Cci%3D0z800006wS9BdmyElvpI%7Ctr%3Dplan%7Chk%3Dca0d27d9730d2c83995c555111256293df1f83ed%7Cnacn%3DnKzVBcwkSmrc#channelProductNo=10139927757
미드센츄리 원형 거실 모던 테이블 노트북 주방 화이트 원형식탁 800,64800,modern,table,800,https://smartstore.naver.com/everideco/products/11103705079?NaPm=ct%3Dm5sbvinc%7Cci%3D0zO00009wS9BA4Nl71mL%7Ctr%3Dplan%7Chk%3Dbf937c6583011c4ffaa5ba812e024f9f1d250389%7Cnacn%3DnKzVBcwkSmrc#channelProductNo=11103705079
크롬 원형식탁 테이블 라운드 800 엣지 미드센츄리 탁자 철제 화이트 스텐 모던 600,78900,modern,table,800,https://smartstore.naver.com/dpdltvh/products/10171064755?n_media=684927&n_query=%EB%AA%A8%EB%8D%98%ED%85%8C%EC%9D%B4%EB%B8%94800&n_rank=3&n_ad_group=grp-a001-02-000000043056891&n_ad=nad-a001-02-000000307506591&n_campaign_type=2&n_mall_id=ncp_1ouqzd_01&n_mall_pid=10171064755&n_ad_group_type=2&n_match=3&NaPm=ct%3Dm5sbvkyo%7Cci%3D0z00000awS9Bsmr0LLnt%7Ctr%3Dplan%7Chk%3Dddc37f2fb7115884f65b0103ac97fac02f82ac70%7Cnacn%3DnKzVBcwkSmrc#channelProductNo=10171064755
모던인테리어 카페 베이커리 디저트 맛집 스퀘어 사각 화이트 블랙 자작테이블 600-800,119000,modern,table,800,https://smartstore.naver.com/migagu/products/9205646217?NaPm=ct%3Dm5sbvna0%7Cci%3D0zW0000dwS9Bw%5Fqer1nL%7Ctr%3Dplan%7Chk%3D918905dd68de78f6392a0fb9c35a39343d52a235%7Cnacn%3DnKzVBcwkSmrc#channelProductNo=9205646217
소담갤러리 닉스 사각 실버테이블 식탁 카페 화이트 미드센츄리모던 800,100900,modern,table,800,https://smartstore.naver.com/hanlimwood/products/8199319255?nl-query=%EB%AA%A8%EB%8D%98%20%ED%85%8C%EC%9D%B4%EB%B8%94%20800&nl-au=5b40ae3daeb4457191affd8c6c160af5&NaPm=ci%3D5b40ae3daeb4457191affd8c6c160af5%7Cct%3Dm5sbj7wh%7Ctr%3Dnslsl%7Csn%3D555950%7Chk%3D8dd39d797627e6193d717cf289dd02f6dccf7594
EC957 원형 테이블 고무나무 원목 식탁 업소용 모던 테이블 800,167100,modern,table,800,https://smartstore.naver.com/eloifurniture/products/8392885249?nl-query=%EB%AA%A8%EB%8D%98%20%ED%85%8C%EC%9D%B4%EB%B8%94%20800&nl-au=9b436de7efc0435f9d4c17cd63327076&NaPm=ci%3D9b436de7efc0435f9d4c17cd63327076%7Cct%3Dm5sbj7wi%7Ctr%3Dnslsl%7Csn%3D5646284%7Chk%3D8df74994d3d9510da2b53844c69b70839048459a
